ID,Org_ID,Employee_ID,Leave_Start_Date,Leave_End_Date,Leave_Type
1,1,1,2026-03-17,2026-03-17,Full Day Leave
2,1,1,2026-03-29,2026-03-29,Full Day Leave
3,1,4,2026-03-01,2026-03-01,Half Day Leave
4,1,4,2026-03-05,2026-03-05,Full Day Leave
5,1,6,2026-03-22,2026-03-23,Full Day Leave
6,1,8,2026-03-29,2026-03-29,Full Day Leave
7,1,10,2026-03-17,2026-03-17,Full Day Leave
8,1,11,2026-03-02,2026-03-02,Full Day Leave
9,1,11,2026-03-29,2026-03-29,Half Day Leave
10,1,12,2026-03-29,2026-03-29,Full Day Leave
11,1,12,2026-04-01,2026-04-01,Full Day Leave
12,1,13,2026-03-04,2026-03-04,Full Day Leave
13,1,14,2026-03-10,2026-03-10,Full Day Leave
14,1,14,2026-03-22,2026-03-22,Full Day Leave
15,1,15,2026-03-02,2026-03-02,Full Day Leave
16,1,15,2026-03-04,2026-03-04,Full Day Leave
17,1,16,2026-03-11,2026-03-11,Full Day Leave
18,1,16,2026-04-02,2026-04-02,Half Day Leave
19,1,17,2026-03-16,2026-03-16,Full Day Leave
20,1,18,2026-03-12,2026-03-12,Half Day Leave
21,1,18,2026-04-01,2026-04-02,Full Day Leave
22,1,19,2026-03-11,2026-03-11,Full Day Leave
23,1,21,2026-03-01,2026-03-01,Full Day Leave
24,1,21,2026-04-02,2026-04-02,Full Day Leave
25,1,22,2026-03-31,2026-03-31,Full Day Leave
26,1,22,2026-04-02,2026-04-02,Half Day Leave
27,1,23,2026-03-16,2026-03-16,Full Day Leave
28,1,23,2026-04-01,2026-04-01,Full Day Leave
29,1,24,2026-03-16,2026-03-16,Full Day Leave
30,1,24,2026-03-29,2026-03-29,Full Day Leave
31,1,29,2026-03-23,2026-03-23,Full Day Leave
32,1,29,2026-03-23,2026-03-23,Half Day Leave
33,1,29,2026-03-29,2026-03-29,Full Day Leave
34,1,30,2026-03-22,2026-03-22,Full Day Leave
35,1,32,2026-03-19,2026-03-19,Half Day Leave
36,1,33,2026-03-03,2026-03-03,Half Day Leave
37,1,33,2026-03-04,2026-03-04,Full Day Leave
38,1,33,2026-03-16,2026-03-17,Full Day Leave
39,1,34,2026-03-29,2026-03-30,Full Day Leave
40,1,35,2026-03-25,2026-03-25,Full Day Leave
41,1,36,2026-03-03,2026-03-03,Full Day Leave
42,1,36,2026-03-09,2026-03-09,Half Day Leave
43,1,36,2026-03-15,2026-03-15,Half Day Leave
44,1,37,2026-03-19,2026-03-19,Full Day Leave
45,1,37,2026-03-31,2026-03-31,Half Day Leave
46,1,38,2026-03-23,2026-03-23,Full Day Leave
47,1,39,2026-03-25,2026-03-25,Full Day Leave
48,1,43,2026-03-25,2026-03-25,Full Day Leave
49,1,44,2026-03-08,2026-03-08,Full Day Leave
50,1,44,2026-03-26,2026-03-26,Full Day Leave
51,1,46,2026-03-23,2026-03-23,Full Day Leave
52,1,47,2026-04-01,2026-04-01,Full Day Leave
53,1,48,2026-03-16,2026-03-16,Full Day Leave
54,1,49,2026-03-30,2026-03-30,Half Day Leave
55,1,50,2026-03-31,2026-03-31,Full Day Leave
56,1,52,2026-03-01,2026-03-01,Full Day Leave
57,1,52,2026-03-29,2026-03-29,Full Day Leave
58,1,53,2026-03-19,2026-03-19,Full Day Leave
59,1,53,2026-03-30,2026-03-30,Full Day Leave
60,1,54,2026-03-04,2026-03-04,Half Day Leave
61,1,55,2026-03-26,2026-03-26,Full Day Leave
62,1,56,2026-03-11,2026-03-11,Full Day Leave
63,1,56,2026-03-30,2026-03-30,Full Day Leave
64,1,57,2026-03-09,2026-03-09,Full Day Leave
65,1,57,2026-03-11,2026-03-11,Half Day Leave
66,1,57,2026-04-01,2026-04-01,Full Day Leave
67,1,58,2026-03-05,2026-03-05,Full Day Leave
68,1,58,2026-03-15,2026-03-15,Full Day Leave
69,1,59,2026-03-15,2026-03-15,Half Day Leave
70,1,59,2026-03-16,2026-03-16,Full Day Leave
71,1,61,2026-03-25,2026-03-25,Full Day Leave
72,1,62,2026-03-05,2026-03-05,Full Day Leave
73,1,62,2026-03-25,2026-03-26,Full Day Leave
74,1,65,2026-03-02,2026-03-02,Full Day Leave
75,1,65,2026-03-15,2026-03-15,Full Day Leave
76,1,65,2026-03-25,2026-03-25,Half Day Leave
77,1,66,2026-03-03,2026-03-03,Full Day Leave
78,1,66,2026-03-17,2026-03-18,Full Day Leave
79,1,70,2026-03-30,2026-03-30,Full Day Leave
80,1,71,2026-03-26,2026-03-26,Full Day Leave
81,1,73,2026-03-22,2026-03-22,Full Day Leave
82,1,75,2026-03-08,2026-03-08,Half Day Leave
83,1,77,2026-03-03,2026-03-03,Full Day Leave
84,1,77,2026-04-01,2026-04-01,Half Day Leave
85,1,79,2026-03-30,2026-03-30,Half Day Leave
86,1,80,2026-03-03,2026-03-03,Full Day Leave
87,1,81,2026-03-18,2026-03-18,Full Day Leave
88,1,81,2026-03-19,2026-03-19,Full Day Leave
89,1,81,2026-03-22,2026-03-22,Full Day Leave
90,1,82,2026-03-31,2026-03-31,Full Day Leave
91,1,83,2026-04-02,2026-04-02,Full Day Leave
92,1,85,2026-03-11,2026-03-11,Full Day Leave
93,1,87,2026-03-08,2026-03-09,Full Day Leave
94,1,88,2026-03-19,2026-03-19,Half Day Leave
95,1,89,2026-03-12,2026-03-12,Full Day Leave
96,1,89,2026-04-02,2026-04-02,Full Day Leave
97,1,90,2026-03-09,2026-03-09,Full Day Leave
98,1,91,2026-03-16,2026-03-16,Full Day Leave
99,1,91,2026-04-02,2026-04-02,Full Day Leave
100,1,92,2026-03-03,2026-03-03,Half Day Leave
101,1,92,2026-03-08,2026-03-08,Full Day Leave
102,1,92,2026-03-11,2026-03-11,Half Day Leave
103,1,92,2026-03-23,2026-03-24,Full Day Leave
104,1,92,2026-04-02,2026-04-02,Full Day Leave
105,1,93,2026-03-25,2026-03-25,Full Day Leave
106,1,93,2026-03-31,2026-03-31,Full Day Leave
107,1,95,2026-03-09,2026-03-09,Full Day Leave
108,1,95,2026-03-17,2026-03-17,Half Day Leave
109,1,95,2026-04-01,2026-04-01,Full Day Leave
110,1,98,2026-03-09,2026-03-09,Full Day Leave
111,1,98,2026-03-18,2026-03-18,Full Day Leave
112,1,99,2026-03-15,2026-03-15,Full Day Leave
113,1,99,2026-04-01,2026-04-01,Full Day Leave
114,1,99,2026-04-01,2026-04-01,Full Day Leave
115,1,101,2026-03-03,2026-03-03,Full Day Leave
116,1,101,2026-03-31,2026-03-31,Half Day Leave
117,1,102,2026-03-01,2026-03-01,Full Day Leave
118,1,102,2026-03-04,2026-03-04,Full Day Leave
119,1,102,2026-03-25,2026-03-25,Half Day Leave
120,1,102,2026-04-02,2026-04-02,Half Day Leave
121,1,103,2026-03-04,2026-03-05,Full Day Leave
122,1,103,2026-03-25,2026-03-25,Full Day Leave
123,1,104,2026-03-10,2026-03-10,Full Day Leave
124,1,105,2026-03-30,2026-03-30,Full Day Leave
125,1,108,2026-03-05,2026-03-05,Full Day Leave
126,1,108,2026-03-23,2026-03-24,Full Day Leave
127,1,109,2026-03-03,2026-03-03,Full Day Leave
128,1,109,2026-04-02,2026-04-02,Full Day Leave
129,1,110,2026-03-04,2026-03-04,Full Day Leave
130,1,114,2026-03-25,2026-03-25,Full Day Leave
131,1,114,2026-03-29,2026-03-29,Full Day Leave
132,1,115,2026-03-02,2026-03-02,Full Day Leave
133,1,115,2026-03-09,2026-03-09,Full Day Leave
134,1,115,2026-03-30,2026-03-30,Full Day Leave
135,1,116,2026-03-11,2026-03-12,Full Day Leave
136,1,119,2026-03-10,2026-03-10,Full Day Leave
137,1,119,2026-03-30,2026-03-30,Full Day Leave
138,1,120,2026-03-03,2026-03-03,Full Day Leave
139,1,120,2026-04-01,2026-04-01,Half Day Leave
140,1,122,2026-03-12,2026-03-12,Half Day Leave
141,1,122,2026-03-22,2026-03-22,Full Day Leave
142,1,123,2026-03-04,2026-03-04,Full Day Leave
143,1,123,2026-03-17,2026-03-17,Full Day Leave
144,1,124,2026-03-24,2026-03-24,Full Day Leave
145,1,125,2026-03-04,2026-03-04,Full Day Leave
146,1,125,2026-03-11,2026-03-11,Full Day Leave
147,1,125,2026-03-11,2026-03-11,Full Day Leave
148,1,126,2026-03-16,2026-03-16,Half Day Leave
149,1,126,2026-03-17,2026-03-18,Full Day Leave
150,1,130,2026-03-25,2026-03-25,Full Day Leave
151,1,130,2026-03-31,2026-03-31,Full Day Leave
152,1,132,2026-03-10,2026-03-10,Full Day Leave
153,1,134,2026-03-24,2026-03-24,Full Day Leave
154,1,135,2026-03-16,2026-03-16,Half Day Leave
155,1,136,2026-03-18,2026-03-19,Full Day Leave
156,1,136,2026-03-31,2026-03-31,Half Day Leave
157,1,137,2026-03-15,2026-03-15,Half Day Leave
158,1,138,2026-03-12,2026-03-15,Full Day Leave
159,1,138,2026-03-17,2026-03-17,Full Day Leave
160,1,139,2026-03-24,2026-03-24,Full Day Leave
