Org_ID,Org_Name,Head_Office_Address,Country
1,Company A,"Address for Head Office, Company A, Pin/Zip Code: 770487",United States
2,Company B,"Address for Head Office, Company B, Pin/Zip Code: 126225",Singapore
3,Company C,"Address for Head Office, Company C, Pin/Zip Code: 356787",Thailand
4,Company D,"Address for Head Office, Company D, Pin/Zip Code: 246316",United States
5,Company E,"Address for Head Office, Company E, Pin/Zip Code: 809570",Netherlands
6,Company F,"Address for Head Office, Company F, Pin/Zip Code: 191161",United Kingdom
7,Company G,"Address for Head Office, Company G, Pin/Zip Code: 542417",India
8,Company H,"Address for Head Office, Company H, Pin/Zip Code: 131244",United States
9,Company I,"Address for Head Office, Company I, Pin/Zip Code: 329258",Thailand
10,Company J,"Address for Head Office, Company J, Pin/Zip Code: 629903",United Kingdom
