Shift_ID,Org_ID,Employee_ID,Shift_Type,Shift_Start_Date,Shift_End_Date,Shift_Start_Time,Shift_End_Time
1,1,1,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
2,1,1,Week Off,2026-03-06,2026-03-07,,
3,1,1,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
4,1,1,Week Off,2026-03-13,2026-03-14,,
5,1,1,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
6,1,1,Week Off,2026-03-20,2026-03-21,,
7,1,1,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
8,1,1,Week Off,2026-03-27,2026-03-28,,
9,1,1,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
10,1,1,Week Off,2026-04-03,2026-04-04,,
11,1,2,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
12,1,2,Week Off,2026-03-06,2026-03-07,,
13,1,2,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
14,1,2,Week Off,2026-03-13,2026-03-14,,
15,1,2,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
16,1,2,Week Off,2026-03-20,2026-03-21,,
17,1,2,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
18,1,2,Week Off,2026-03-27,2026-03-28,,
19,1,2,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
20,1,2,Week Off,2026-04-03,2026-04-04,,
21,1,3,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
22,1,3,Week Off,2026-03-06,2026-03-07,,
23,1,3,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
24,1,3,Week Off,2026-03-13,2026-03-14,,
25,1,3,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
26,1,3,Week Off,2026-03-20,2026-03-21,,
27,1,3,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
28,1,3,Week Off,2026-03-27,2026-03-28,,
29,1,3,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
30,1,3,Week Off,2026-04-03,2026-04-04,,
31,1,4,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
32,1,4,Week Off,2026-03-06,2026-03-07,,
33,1,4,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
34,1,4,Week Off,2026-03-13,2026-03-14,,
35,1,4,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
36,1,4,Week Off,2026-03-20,2026-03-21,,
37,1,4,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
38,1,4,Week Off,2026-03-27,2026-03-28,,
39,1,4,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
40,1,4,Week Off,2026-04-03,2026-04-04,,
41,1,5,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
42,1,5,Week Off,2026-03-06,2026-03-07,,
43,1,5,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
44,1,5,Week Off,2026-03-13,2026-03-14,,
45,1,5,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
46,1,5,Week Off,2026-03-20,2026-03-21,,
47,1,5,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
48,1,5,Week Off,2026-03-27,2026-03-28,,
49,1,5,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
50,1,5,Week Off,2026-04-03,2026-04-04,,
51,1,6,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
52,1,6,Week Off,2026-03-06,2026-03-07,,
53,1,6,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
54,1,6,Week Off,2026-03-13,2026-03-14,,
55,1,6,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
56,1,6,Week Off,2026-03-20,2026-03-21,,
57,1,6,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
58,1,6,Week Off,2026-03-27,2026-03-28,,
59,1,6,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
60,1,6,Week Off,2026-04-03,2026-04-04,,
61,1,7,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
62,1,7,Week Off,2026-03-06,2026-03-07,,
63,1,7,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
64,1,7,Week Off,2026-03-13,2026-03-14,,
65,1,7,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
66,1,7,Week Off,2026-03-20,2026-03-21,,
67,1,7,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
68,1,7,Week Off,2026-03-27,2026-03-28,,
69,1,7,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
